,interaction_name,pathway_name,ligand,receptor,agonist,antagonist,co_A_receptor,co_I_receptor,evidence,annotation,interaction_name_2
WNT2_FZD3_LRP5_2,WNT2_FZD3_LRP5_2,WNT,wnt2,FZD3_LRP5_2,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt2 - (fzd3a+lrp5)"
WNT2_FZD4_LRP5,WNT2_FZD4_LRP5,WNT,wnt2,FZD4_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt2 - (fzd4+lrp5)"
WNT2_FZD5_LRP5,WNT2_FZD5_LRP5,WNT,wnt2,FZD5_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt2 - (fzd5+lrp5)"
WNT2_FZD6_LRP5,WNT2_FZD6_LRP5,WNT,wnt2,FZD6_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt2 - (fzd6+lrp5)"
WNT2_FZD7_LRP5_1,WNT2_FZD7_LRP5_1,WNT,wnt2,FZD7_LRP5_1,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt2 - (fzd7b+lrp5)"
WNT2_FZD7_LRP5_2,WNT2_FZD7_LRP5_2,WNT,wnt2,FZD7_LRP5_2,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt2 - (fzd7a+lrp5)"
WNT2_FZD8_LRP5_1,WNT2_FZD8_LRP5_1,WNT,wnt2,FZD8_LRP5_1,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt2 - (fzd8b+lrp5)"
WNT2_FZD8_LRP5_2,WNT2_FZD8_LRP5_2,WNT,wnt2,FZD8_LRP5_2,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt2 - (fzd8a+lrp5)"
WNT2_FZD9_LRP5_1,WNT2_FZD9_LRP5_1,WNT,wnt2,FZD9_LRP5_1,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt2 - (fzd9b+lrp5)"
WNT2_FZD9_LRP5_2,WNT2_FZD9_LRP5_2,WNT,wnt2,FZD9_LRP5_2,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt2 - (fzd9a+lrp5)"
WNT2B_FZD1_LRP5,WNT2B_FZD1_LRP5,WNT,wnt2bb,FZD1_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt2bb - (fzd1+lrp5)"
WNT2B_FZD10_LRP5,WNT2B_FZD10_LRP5,WNT,wnt2bb,FZD10_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt2bb - (fzd10+lrp5)"
WNT2B_FZD2_LRP5,WNT2B_FZD2_LRP5,WNT,wnt2bb,FZD2_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt2bb - (fzd2+lrp5)"
WNT2B_FZD3_LRP5_1,WNT2B_FZD3_LRP5_1,WNT,wnt2bb,FZD3_LRP5_1,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt2bb - (fzd3b+lrp5)"
WNT2B_FZD3_LRP5_2,WNT2B_FZD3_LRP5_2,WNT,wnt2bb,FZD3_LRP5_2,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt2bb - (fzd3a+lrp5)"
WNT2B_FZD4_LRP5,WNT2B_FZD4_LRP5,WNT,wnt2bb,FZD4_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt2bb - (fzd4+lrp5)"
WNT2B_FZD5_LRP5,WNT2B_FZD5_LRP5,WNT,wnt2bb,FZD5_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt2bb - (fzd5+lrp5)"
WNT2B_FZD6_LRP5,WNT2B_FZD6_LRP5,WNT,wnt2bb,FZD6_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt2bb - (fzd6+lrp5)"
WNT2B_FZD7_LRP5_1,WNT2B_FZD7_LRP5_1,WNT,wnt2bb,FZD7_LRP5_1,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt2bb - (fzd7b+lrp5)"
WNT2B_FZD7_LRP5_2,WNT2B_FZD7_LRP5_2,WNT,wnt2bb,FZD7_LRP5_2,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt2bb - (fzd7a+lrp5)"
WNT2B_FZD8_LRP5_1,WNT2B_FZD8_LRP5_1,WNT,wnt2bb,FZD8_LRP5_1,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt2bb - (fzd8b+lrp5)"
WNT2B_FZD8_LRP5_2,WNT2B_FZD8_LRP5_2,WNT,wnt2bb,FZD8_LRP5_2,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt2bb - (fzd8a+lrp5)"
WNT2B_FZD9_LRP5_1,WNT2B_FZD9_LRP5_1,WNT,wnt2bb,FZD9_LRP5_1,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt2bb - (fzd9b+lrp5)"
WNT2B_FZD9_LRP5_2,WNT2B_FZD9_LRP5_2,WNT,wnt2bb,FZD9_LRP5_2,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt2bb - (fzd9a+lrp5)"
WNT3_FZD1_LRP5,WNT3_FZD1_LRP5,WNT,wnt3,FZD1_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt3 - (fzd1+lrp5)"
WNT3_FZD10_LRP5,WNT3_FZD10_LRP5,WNT,wnt3,FZD10_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt3 - (fzd10+lrp5)"
WNT3_FZD2_LRP5,WNT3_FZD2_LRP5,WNT,wnt3,FZD2_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt3 - (fzd2+lrp5)"
WNT3_FZD3_LRP5_1,WNT3_FZD3_LRP5_1,WNT,wnt3,FZD3_LRP5_1,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt3 - (fzd3b+lrp5)"
WNT3_FZD3_LRP5_2,WNT3_FZD3_LRP5_2,WNT,wnt3,FZD3_LRP5_2,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt3 - (fzd3a+lrp5)"
WNT3_FZD4_LRP5,WNT3_FZD4_LRP5,WNT,wnt3,FZD4_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt3 - (fzd4+lrp5)"
WNT3_FZD5_LRP5,WNT3_FZD5_LRP5,WNT,wnt3,FZD5_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt3 - (fzd5+lrp5)"
WNT3_FZD6_LRP5,WNT3_FZD6_LRP5,WNT,wnt3,FZD6_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt3 - (fzd6+lrp5)"
WNT3_FZD7_LRP5_1,WNT3_FZD7_LRP5_1,WNT,wnt3,FZD7_LRP5_1,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt3 - (fzd7b+lrp5)"
WNT3_FZD7_LRP5_2,WNT3_FZD7_LRP5_2,WNT,wnt3,FZD7_LRP5_2,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt3 - (fzd7a+lrp5)"
WNT3_FZD8_LRP5_1,WNT3_FZD8_LRP5_1,WNT,wnt3,FZD8_LRP5_1,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt3 - (fzd8b+lrp5)"
WNT3_FZD8_LRP5_2,WNT3_FZD8_LRP5_2,WNT,wnt3,FZD8_LRP5_2,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt3 - (fzd8a+lrp5)"
WNT3_FZD9_LRP5_1,WNT3_FZD9_LRP5_1,WNT,wnt3,FZD9_LRP5_1,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt3 - (fzd9b+lrp5)"
WNT3_FZD9_LRP5_2,WNT3_FZD9_LRP5_2,WNT,wnt3,FZD9_LRP5_2,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt3 - (fzd9a+lrp5)"
WNT3A_FZD1_LRP5,WNT3A_FZD1_LRP5,WNT,wnt3a,FZD1_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt3a - (fzd1+lrp5)"
WNT3A_FZD10_LRP5,WNT3A_FZD10_LRP5,WNT,wnt3a,FZD10_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt3a - (fzd10+lrp5)"
WNT3A_FZD2_LRP5,WNT3A_FZD2_LRP5,WNT,wnt3a,FZD2_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt3a - (fzd2+lrp5)"
WNT3A_FZD3_LRP5_1,WNT3A_FZD3_LRP5_1,WNT,wnt3a,FZD3_LRP5_1,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt3a - (fzd3b+lrp5)"
WNT3A_FZD3_LRP5_2,WNT3A_FZD3_LRP5_2,WNT,wnt3a,FZD3_LRP5_2,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt3a - (fzd3a+lrp5)"
WNT3A_FZD4_LRP5,WNT3A_FZD4_LRP5,WNT,wnt3a,FZD4_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt3a - (fzd4+lrp5)"
WNT3A_FZD5_LRP5,WNT3A_FZD5_LRP5,WNT,wnt3a,FZD5_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt3a - (fzd5+lrp5)"
WNT3A_FZD6_LRP5,WNT3A_FZD6_LRP5,WNT,wnt3a,FZD6_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt3a - (fzd6+lrp5)"
WNT3A_FZD7_LRP5_1,WNT3A_FZD7_LRP5_1,WNT,wnt3a,FZD7_LRP5_1,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt3a - (fzd7b+lrp5)"
WNT3A_FZD7_LRP5_2,WNT3A_FZD7_LRP5_2,WNT,wnt3a,FZD7_LRP5_2,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt3a - (fzd7a+lrp5)"
WNT3A_FZD8_LRP5_1,WNT3A_FZD8_LRP5_1,WNT,wnt3a,FZD8_LRP5_1,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt3a - (fzd8b+lrp5)"
WNT3A_FZD8_LRP5_2,WNT3A_FZD8_LRP5_2,WNT,wnt3a,FZD8_LRP5_2,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt3a - (fzd8a+lrp5)"
WNT3A_FZD9_LRP5_1,WNT3A_FZD9_LRP5_1,WNT,wnt3a,FZD9_LRP5_1,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt3a - (fzd9b+lrp5)"
WNT3A_FZD9_LRP5_2,WNT3A_FZD9_LRP5_2,WNT,wnt3a,FZD9_LRP5_2,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt3a - (fzd9a+lrp5)"
WNT4_FZD1_LRP5,WNT4_FZD1_LRP5,WNT,wnt4,FZD1_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt4 - (fzd1+lrp5)"
WNT4_FZD10_LRP5,WNT4_FZD10_LRP5,WNT,wnt4,FZD10_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt4 - (fzd10+lrp5)"
WNT4_FZD2_LRP5,WNT4_FZD2_LRP5,WNT,wnt4,FZD2_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt4 - (fzd2+lrp5)"
WNT4_FZD3_LRP5_1,WNT4_FZD3_LRP5_1,WNT,wnt4,FZD3_LRP5_1,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt4 - (fzd3b+lrp5)"
WNT4_FZD3_LRP5_2,WNT4_FZD3_LRP5_2,WNT,wnt4,FZD3_LRP5_2,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt4 - (fzd3a+lrp5)"
WNT4_FZD4_LRP5,WNT4_FZD4_LRP5,WNT,wnt4,FZD4_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt4 - (fzd4+lrp5)"
WNT4_FZD5_LRP5,WNT4_FZD5_LRP5,WNT,wnt4,FZD5_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt4 - (fzd5+lrp5)"
WNT4_FZD6_LRP5,WNT4_FZD6_LRP5,WNT,wnt4,FZD6_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt4 - (fzd6+lrp5)"
WNT4_FZD7_LRP5_1,WNT4_FZD7_LRP5_1,WNT,wnt4,FZD7_LRP5_1,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt4 - (fzd7b+lrp5)"
WNT4_FZD7_LRP5_2,WNT4_FZD7_LRP5_2,WNT,wnt4,FZD7_LRP5_2,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt4 - (fzd7a+lrp5)"
WNT4_FZD8_LRP5_1,WNT4_FZD8_LRP5_1,WNT,wnt4,FZD8_LRP5_1,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt4 - (fzd8b+lrp5)"
WNT4_FZD8_LRP5_2,WNT4_FZD8_LRP5_2,WNT,wnt4,FZD8_LRP5_2,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt4 - (fzd8a+lrp5)"
WNT4_FZD9_LRP5_1,WNT4_FZD9_LRP5_1,WNT,wnt4,FZD9_LRP5_1,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt4 - (fzd9b+lrp5)"
WNT4_FZD9_LRP5_2,WNT4_FZD9_LRP5_2,WNT,wnt4,FZD9_LRP5_2,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt4 - (fzd9a+lrp5)"
WNT6B_FZD1_LRP5,WNT6B_FZD1_LRP5,WNT,wnt6b,FZD1_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt6b - (fzd1+lrp5)"
WNT6B_FZD10_LRP5,WNT6B_FZD10_LRP5,WNT,wnt6b,FZD10_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt6b - (fzd10+lrp5)"
WNT6B_FZD2_LRP5,WNT6B_FZD2_LRP5,WNT,wnt6b,FZD2_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt6b - (fzd2+lrp5)"
WNT6B_FZD3_LRP5_1,WNT6B_FZD3_LRP5_1,WNT,wnt6b,FZD3_LRP5_1,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt6b - (fzd3b+lrp5)"
WNT6B_FZD3_LRP5_2,WNT6B_FZD3_LRP5_2,WNT,wnt6b,FZD3_LRP5_2,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt6b - (fzd3a+lrp5)"
WNT6B_FZD4_LRP5,WNT6B_FZD4_LRP5,WNT,wnt6b,FZD4_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt6b - (fzd4+lrp5)"
WNT6B_FZD5_LRP5,WNT6B_FZD5_LRP5,WNT,wnt6b,FZD5_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt6b - (fzd5+lrp5)"
WNT6B_FZD6_LRP5,WNT6B_FZD6_LRP5,WNT,wnt6b,FZD6_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt6b - (fzd6+lrp5)"
WNT6B_FZD7_LRP5_1,WNT6B_FZD7_LRP5_1,WNT,wnt6b,FZD7_LRP5_1,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt6b - (fzd7b+lrp5)"
WNT6B_FZD7_LRP5_2,WNT6B_FZD7_LRP5_2,WNT,wnt6b,FZD7_LRP5_2,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt6b - (fzd7a+lrp5)"
WNT6B_FZD8_LRP5_1,WNT6B_FZD8_LRP5_1,WNT,wnt6b,FZD8_LRP5_1,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt6b - (fzd8b+lrp5)"
WNT6B_FZD8_LRP5_2,WNT6B_FZD8_LRP5_2,WNT,wnt6b,FZD8_LRP5_2,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt6b - (fzd8a+lrp5)"
WNT6B_FZD9_LRP5_1,WNT6B_FZD9_LRP5_1,WNT,wnt6b,FZD9_LRP5_1,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt6b - (fzd9b+lrp5)"
WNT6B_FZD9_LRP5_2,WNT6B_FZD9_LRP5_2,WNT,wnt6b,FZD9_LRP5_2,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt6b - (fzd9a+lrp5)"
WNT7AA_FZD1_LRP5,WNT7AA_FZD1_LRP5,WNT,wnt7aa,FZD1_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt7aa - (fzd1+lrp5)"
WNT7AB_FZD1_LRP5,WNT7AB_FZD1_LRP5,WNT,wnt7ab,FZD1_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt7ab - (fzd1+lrp5)"
WNT7AA_FZD10_LRP5,WNT7AA_FZD10_LRP5,WNT,wnt7aa,FZD10_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt7aa - (fzd10+lrp5)"
WNT7AB_FZD10_LRP5,WNT7AB_FZD10_LRP5,WNT,wnt7ab,FZD10_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt7ab - (fzd10+lrp5)"
WNT7AA_FZD2_LRP5,WNT7AA_FZD2_LRP5,WNT,wnt7aa,FZD2_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt7aa - (fzd2+lrp5)"
WNT7AB_FZD2_LRP5,WNT7AB_FZD2_LRP5,WNT,wnt7ab,FZD2_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt7ab - (fzd2+lrp5)"
WNT7AA_FZD3_LRP5_1,WNT7AA_FZD3_LRP5_1,WNT,wnt7aa,FZD3_LRP5_1,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt7aa - (fzd3b+lrp5)"
WNT7AB_FZD3_LRP5_1,WNT7AB_FZD3_LRP5_1,WNT,wnt7ab,FZD3_LRP5_1,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt7ab - (fzd3b+lrp5)"
WNT7AA_FZD3_LRP5_2,WNT7AA_FZD3_LRP5_2,WNT,wnt7aa,FZD3_LRP5_2,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt7aa - (fzd3a+lrp5)"
WNT7AB_FZD3_LRP5_2,WNT7AB_FZD3_LRP5_2,WNT,wnt7ab,FZD3_LRP5_2,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt7ab - (fzd3a+lrp5)"
WNT7AA_FZD4_LRP5,WNT7AA_FZD4_LRP5,WNT,wnt7aa,FZD4_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt7aa - (fzd4+lrp5)"
WNT7AB_FZD4_LRP5,WNT7AB_FZD4_LRP5,WNT,wnt7ab,FZD4_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt7ab - (fzd4+lrp5)"
WNT7AA_FZD5_LRP5,WNT7AA_FZD5_LRP5,WNT,wnt7aa,FZD5_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt7aa - (fzd5+lrp5)"
WNT7AB_FZD5_LRP5,WNT7AB_FZD5_LRP5,WNT,wnt7ab,FZD5_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt7ab - (fzd5+lrp5)"
WNT7AA_FZD6_LRP5,WNT7AA_FZD6_LRP5,WNT,wnt7aa,FZD6_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt7aa - (fzd6+lrp5)"
WNT7AB_FZD6_LRP5,WNT7AB_FZD6_LRP5,WNT,wnt7ab,FZD6_LRP5,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt7ab - (fzd6+lrp5)"
WNT7AA_FZD7_LRP5_1,WNT7AA_FZD7_LRP5_1,WNT,wnt7aa,FZD7_LRP5_1,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt7aa - (fzd7b+lrp5)"
WNT7AB_FZD7_LRP5_1,WNT7AB_FZD7_LRP5_1,WNT,wnt7ab,FZD7_LRP5_1,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt7ab - (fzd7b+lrp5)"
WNT7AA_FZD8_LRP5_1,WNT7AA_FZD8_LRP5_1,WNT,wnt7aa,FZD8_LRP5_1,"WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","wnt7aa - (fzd8a+lrp5)"
