,interaction_name,pathway_name,ligand,receptor,agonist,antagonist,co_A_receptor,co_I_receptor,evidence,annotation,interaction_name_2
NRG2_ERBB3_3,NRG2_ERBB3_3,NRG,nrg2b,erbb3a,,,,,"KEGG: mmu04012","Secreted Signaling","nrg2b - erbb3a"
NRG2_ERBB3_4,NRG2_ERBB3_4,NRG,nrg2b,erbb3b,,,,,"KEGG: mmu04012","Secreted Signaling","nrg2b - erbb3b"
NRG2_ERBB4_1,NRG2_ERBB4_1,NRG,nrg2a,erbb4a,,,,,"KEGG: mmu04012","Secreted Signaling","nrg2a - erbb4a"
NRG2_ERBB4_2,NRG2_ERBB4_2,NRG,nrg2a,si:ch73-383l1.1,,,,,"KEGG: mmu04012","Secreted Signaling","nrg2a - si:ch73-383l1.1"
NRG2_ERBB4_3,NRG2_ERBB4_3,NRG,nrg2a,erbb4b,,,,,"KEGG: mmu04012","Secreted Signaling","nrg2a - erbb4b"
NRG2_ERBB4_4,NRG2_ERBB4_4,NRG,nrg2b,erbb4a,,,,,"KEGG: mmu04012","Secreted Signaling","nrg2b - erbb4a"
NRG2_ERBB4_5,NRG2_ERBB4_5,NRG,nrg2b,si:ch73-383l1.1,,,,,"KEGG: mmu04012","Secreted Signaling","nrg2b - si:ch73-383l1.1"
NRG2_ERBB4_6,NRG2_ERBB4_6,NRG,nrg2b,erbb4b,,,,,"KEGG: mmu04012","Secreted Signaling","nrg2b - erbb4b"
NRG3_ERBB4_1,NRG3_ERBB4_1,NRG,nrg3b,erbb4a,,,,,"KEGG: mmu04012","Secreted Signaling","nrg3b - erbb4a"
NRG3_ERBB4_2,NRG3_ERBB4_2,NRG,nrg3b,si:ch73-383l1.1,,,,,"KEGG: mmu04012","Secreted Signaling","nrg3b - si:ch73-383l1.1"
NRG3_ERBB4_3,NRG3_ERBB4_3,NRG,nrg3b,erbb4b,,,,,"KEGG: mmu04012","Secreted Signaling","nrg3b - erbb4b"
FGF4_FGFR1_1,FGF4_FGFR1_1,FGF,fgf4,fgfr1a,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf4 - fgfr1a"
FGF4_FGFR1_2,FGF4_FGFR1_2,FGF,fgf4,fgfr1bl,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf4 - fgfr1bl"
FGF4_FGFR1_3,FGF4_FGFR1_3,FGF,fgf4,fgfr1b,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf4 - fgfr1b"
FGF4_FGFR2,FGF4_FGFR2,FGF,fgf4,fgfr2,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf4 - fgfr2"
FGF4_FGFR3,FGF4_FGFR3,FGF,fgf4,fgfr3,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf4 - fgfr3"
FGF5_FGFR1_1,FGF5_FGFR1_1,FGF,fgf5,fgfr1a,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf5 - fgfr1a"
FGF5_FGFR1_2,FGF5_FGFR1_2,FGF,fgf5,fgfr1bl,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf5 - fgfr1bl"
FGF5_FGFR1_3,FGF5_FGFR1_3,FGF,fgf5,fgfr1b,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf5 - fgfr1b"
FGF5_FGFR2,FGF5_FGFR2,FGF,fgf5,fgfr2,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf5 - fgfr2"
FGF5_FGFR3,FGF5_FGFR3,FGF,fgf5,fgfr3,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf5 - fgfr3"
